USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA_ARS,GOES_CLASS,PEAK_TIME
8.624056e+21,130.725,-0.00031063,2558.02,6.573,609.337,55.07,-0.00108248,31.011,130.365,0.37525663,13372680000000.0,2685797000000.0,4.64664e+22,24.499,679.119812,0.0,4.249,211,11112,M2.9,2010.10.13_19:12_TAI
2.338521e+22,90.686,-0.00123907,7645.486,26.052,1346.585,44.4,-0.00273142,40.221,93.629,-0.22547907,27056770000000.0,3886085000000.0,3.433217e+23,34.224,734.203369,4.195,41.897,345,11149,M1.3,2011.01.25_01:03_TAI
2.271763e+21,140.618,-0.00430894,2472.163,4.253,153.67,58.0,-0.01238087,29.913,139.785,-0.10949934,3017220000000.0,358360700000.0,1.103792e+22,23.546,113.540947,0.0,14.487,362,11153,M1.9,2011.02.06_01:31_TAI
3.695193e+21,136.202,-0.00384795,5139.154,21.006,389.691,80.158,-0.01010963,43.606,135.447,0.3481589,7537710000000.0,2088785000000.0,3.960561e+22,33.887,164.067017,3.54,22.33,377,11158,M2.2,2011.02.11_17:26_TAI
1.037972e+22,117.881,0.02846296,8975.24,46.948,1427.697,86.533,0.06773675,59.557,121.496,-0.00742644,28436180000000.0,20868200000000.0,2.212382e+23,47.586,457.671204,4.336,528.301,377,11158,M1.0,2011.02.13_01:39_TAI
2.640826e+22,95.486,0.02576034,15356.8,57.414,3097.886,68.717,0.05001505,58.707,104.31,0.18770082,52585200000000.0,26177330000000.0,8.262431e+23,50.831,1111.396118,4.837,1043.577,377,11158,M6.6,2011.02.15_10:11_TAI
8.590214e+21,122.757,-0.00468807,3272.831,17.243,732.175,58.089,-0.01501989,37.007,126.808,0.30392304,15623970000000.0,2228869000000.0,6.160679e+22,30.726,340.541077,3.966,66.449,394,11165,M1.3,2011.03.05_02:29_TAI
1.287621e+22,122.592,-0.00101745,3548.303,19.454,1008.268,58.428,-0.00284981,38.664,128.079,-0.10608562,21412490000000.0,1286119000000.0,9.473618e+22,31.699,460.499878,4.087,20.455,394,11165,M5.3,2011.03.05_10:44_TAI
2.319091e+22,97.276,-0.00459083,11129.58,46.029,1728.462,59.599,-0.00918289,51.952,100.739,0.13408698,35087330000000.0,7090081000000.0,5.088358e+23,44.372,933.9104,4.145,158.044,401,11166,X1.5,2011.03.06_23:23_TAI
2.776019e+22,99.269,-0.00225451,5902.146,28.475,1671.281,50.203,-0.00614262,43.045,101.056,0.16813263,37025600000000.0,3994577000000.0,3.477781e+23,36.508,1098.912476,3.911,100.026,833,11283,M5.3,2011.09.03_01:50_TAI
